GENE,HUVECs_2,HUVECs_3,HUVECs_4,HDLECs_1,HDLECs_2,HDLECs_3
LOC105371654,5,2,6,0,0,4
PRG4,161,144,155,129,177,211
TPR,7431,7426,7790,6813,8259,8150
ODR4,872,935,1016,940,698,745
PDC-AS1,3,4,2,0,4,1
PDC,1,5,0,0,1,3
PTGS2,498,966,527,204,810,181
PACERR,5,7,7,2,7,2
PLA2G4A,803,1538,965,392,1597,561
LINC01036,0,0,0,0,0,0
LOC105371655,0,0,0,0,0,0
LINC01037,0,0,0,0,0,0
LOC105371656,0,0,0,0,0,0
LOC105371657,0,0,0,0,0,0
LINC01701,0,0,0,0,0,0
BRINP3,0,1,0,0,0,0
LOC105371659,0,0,0,0,0,0
LOC105371658,0,0,0,0,0,0
BRINP3-DT,0,0,0,0,0,0
LINC01720,0,0,0,0,0,0
LINC01680,0,0,0,0,0,0
LINC02770,0,0,0,0,0,0
LOC105371661,0,0,0,0,0,0
RGS18,0,0,0,0,1,0
LOC105371662,0,0,0,0,0,0
RGS21,0,0,0,0,0,0
LOC105371664,0,0,0,0,0,0
RGS1,0,2,0,0,0,0
LOC107985241,0,0,0,0,0,0
RGS13,0,0,0,0,0,0
MIR4426,87,165,180,149,202,134
LOC105371665,1,0,0,0,0,1
RGS2,549,666,371,260,205,168
LOC105371668,0,0,0,0,0,0
LOC105371667,0,0,0,0,0,0
RGS2-AS1,0,2,0,1,0,0
UCHL5,2220,2330,2150,2107,1588,1567
SCARNA18B,1,0,6,0,0,0
RO60,7734,6837,8298,8200,9676,9417
GLRX2,333,426,395,469,375,298
LOC101929160,240,255,257,314,197,229
CDC73,3577,3610,4068,4091,3664,3734
MIR1278,0,0,0,0,0,1
B3GALT2,15,6,7,2608,651,386
LINC01031,1,0,1,1,1,1
LOC107985242,0,0,0,0,0,0
LOC105371670,0,0,0,0,0,0
LOC107985458,0,0,0,0,0,0
LOC105371671,0,0,0,0,0,0
LOC105371672,0,0,0,0,0,0
LINC01724,0,0,0,0,0,0
LOC105371674,0,0,0,0,0,0
KCNT2,55,91,204,3,2,2
MIR4735,0,0,0,0,0,0
CFH,5206,6670,10028,941,1467,2189
CFHR3,0,0,0,0,0,0
CFHR1,1,0,0,0,0,1
CFHR4,0,0,1,0,0,0
LOC105371675,0,0,0,0,0,0
CFHR2,0,0,0,0,0,0
CFHR5,0,0,0,0,0,0
F13B,0,0,0,0,0,0
ASPM,3477,3579,2175,3130,1827,920
ZBTB41,697,765,891,1320,1265,1280
CRB1,0,1,1,1,4,3
DENND1B,297,224,260,291,265,271
C1orf53,74,96,102,81,64,69
LHX9,0,0,1,0,0,0
NEK7,3541,4052,3907,6453,4333,3364
LOC105371677,0,0,0,0,0,0
ATP6V1G3,0,0,0,0,0,0
PTPRC,1,0,0,0,3,0
MIR181A1HG,67,20,34,54,31,47
MIR181B1,1,0,1,0,0,1
MIR181A1,0,0,0,0,0,1
LOC105371679,0,0,0,0,0,0
LINC01222,0,0,0,0,0,0
LINC01221,0,0,0,0,0,0
LOC107985243,2,0,0,0,0,0
LINC02789,0,0,0,0,0,0
LOC105371680,0,0,0,0,0,0
LOC105371682,1,0,0,0,0,0
NR5A2,1281,552,1519,82,66,21
LOC107985244,5,0,3,0,0,0
LINC00862,0,1,0,0,0,1
ZNF281,2600,2448,2797,2813,2721,2758
LOC107985459,0,0,0,0,0,0
KIF14,1008,1084,759,991,518,338
DDX59,618,650,670,741,640,654
DDX59-AS1,4,4,18,5,5,3
CAMSAP2,7115,7261,8384,7486,7943,8461
GPR25,0,0,0,0,0,2
LOC107985245,0,0,0,0,0,0
INAVA,1,0,0,0,0,0
MROH3P,0,0,0,0,0,0
KIF21B,498,386,290,760,757,836
LOC101929305,0,1,0,1,1,1
CACNA1S,0,0,0,0,0,0
ASCL5,0,0,1,0,0,0
TMEM9,1865,1928,2018,1687,1616,1615
IGFN1,1,0,0,0,0,0
PKP1,2,4,3,47,6,34
LOC101929326,0,0,0,0,0,0
TNNT2,1,0,0,0,0,0
LAD1,0,0,0,0,0,0
LOC101929343,0,0,0,0,0,0
TNNI1,0,0,0,0,0,0
LOC101929367,0,0,0,0,0,0
PHLDA3,2086,1736,1888,2253,1095,1035
CSRP1,14359,14547,17188,18228,6437,6894
CSRP1-AS1,58,60,111,76,66,82
RPS10P7,11,13,11,13,13,18
NAV1,16518,12468,14235,7669,2935,3130
IPO9-AS1,1130,914,979,783,571,539
MIR5191,6,0,0,1,0,0
MIR1231,0,0,0,0,0,0
IPO9,9940,9166,9684,8796,7228,6517
MIR6739,1,3,2,0,0,1
SHISA4,1046,1002,934,841,910,886
LMOD1,18,7,7,3,9,0
TIMM17A,2490,2717,2519,2795,2129,1941
SNORA70H,0,0,0,0,0,0
RNPEP,4526,4766,4420,4580,3607,3510
LOC112268254,63,38,9,10,12,12
ELF3-AS1,11,4,0,1,1,2
MIR6740,0,0,2,0,0,0
ELF3,1,2,1,0,0,0
LOC105371684,0,0,0,0,0,0
GPR37L1,106,67,97,79,86,95
LOC105371683,0,0,0,0,0,0
ARL8A,2743,2503,2773,2877,2524,2585
PTPN7,39,67,31,3,0,1
PTPRVP,6,4,6,0,2,5
LGR6,7,1,1,4,0,0
LOC101929388,0,0,0,0,0,0
UBE2T,452,481,382,420,144,115
PPP1R12B,520,486,424,443,363,415
SYT2,17,10,6,7,1,4
LOC105371686,3,3,1,1,0,1
KDM5B,8130,8087,9457,5172,6762,7739
PCAT6,46,58,45,44,53,37
MGAT4EP,0,0,0,0,0,0
ACTG1P25,11,11,8,15,14,26
RABIF,1365,1500,1638,1494,1267,1460
KLHL12,2156,2432,2405,2025,1822,1760
ADIPOR1,5362,5610,5421,7366,7866,6738
CYB5R1,1345,1458,1500,1637,2066,1714
MGAT4FP,6,4,5,5,4,2
TMEM183A,2237,2565,2446,2131,1856,1858
PPFIA4,2,1,1,2,0,2
LOC105371687,0,0,0,0,0,0
MYOG,0,0,0,0,0,0
MYOPARR,0,0,0,0,0,0
ADORA1,0,0,1,1,2,0
MYBPH,0,0,0,0,0,0
CHI3L1,0,0,0,0,0,0
CHIT1,0,0,0,0,0,0
LINC01353,4,3,3,3,1,2
BTG2-DT,0,0,1,0,2,1
BTG2,7149,7730,8919,3936,2310,2588
FMOD,30,15,9,2078,5210,12700
LOC102723529,0,0,0,0,0,0
BMNCR,0,0,0,0,0,0
PRELP,8,5,7,13,2,8
OPTC,1,0,1,0,0,0
LOC105371688,2,2,0,0,0,0
ATP2B4,26022,22921,24805,20214,14388,14426
SNORA77,2,4,3,2,1,0
LINC00260,26,19,6,11,1,6
LOC102723543,24,10,3,3,1,2
LAX1,1,3,5,14,4,3
ZBED6,5815,4881,6254,4745,5339,5258
ZC3H11A,0,0,0,0,0,0
SNRPE,1246,1527,1589,1320,1006,983
LOC105371689,0,0,0,0,0,0
LINC00303,0,0,2,0,0,1
SOX13,3362,3721,3023,1932,1503,1267
ETNK2,912,931,1046,909,895,985
ERLNC1,67,76,88,65,64,80
REN,0,0,1,1,4,3
KISS1,21,18,22,6,20,13
GOLT1A,2,0,5,1,2,2
PLEKHA6,895,806,580,724,335,456
LINC00628,6,6,1,5,4,1
PPP1R15B,5924,5973,6466,4447,3994,4205
PIK3C2B,11997,14262,10809,3034,4607,5126
TRK-TTT3-1,34,13,7,57,38,33
TRK-TTT3-2,0,0,0,1,0,0
MDM4,1574,1676,1457,1415,1308,1354
LOC105371692,31,19,15,11,15,14
LRRN2,0,3,0,7,12,40
LOC105371693,0,0,0,0,0,0
LOC105371695,0,0,0,0,0,0
LOC105371694,0,0,0,0,0,0
NFASC,3,4,5,4,8,22
CNTN2,2,4,1,1,2,3
TMEM81,48,67,63,41,56,53
RBBP5,1735,1880,2061,1946,1849,1932
DSTYK,2064,2032,2470,1698,1808,1960
TMCC2,288,230,205,143,66,79
TMCC2-AS1,0,0,0,2,0,0
NUAK2,106,105,94,898,742,440
KLHDC8A,2,2,1,2,2,0
LEMD1-AS1,1,1,0,0,0,0
LOC105371698,0,0,0,0,0,0
LEMD1,2,4,0,2,2,2
BLACAT1,12,8,12,20,3,5
MIR135B,0,0,1,0,0,0
LEMD1-DT,4,2,1,1,1,0
TRK-TTT8-1,0,0,0,0,0,0
CDK18,28,57,28,89,143,244
MFSD4A-AS1,1,1,3,13,102,75
MFSD4A,104,97,105,139,578,390
ELK4,26724,27027,30197,18258,32871,34681
SLC45A3,1603,1811,1504,1977,4693,7243
LOC105371701,92,121,86,96,237,432
NUCKS1,29551,27974,28343,25168,24224,21906
RAB29,2560,2816,2819,2311,2369,2694
LOC105371702,0,0,0,0,0,0
SLC41A1,2172,2014,2023,2330,2762,3194
PM20D1,14,0,2,10,2,12
LOC107985250,14,0,0,0,7,19
LOC284581,105,27,0,1,110,215
SLC26A9,16,12,9,1,0,2
SLC26A9-AS1,8,9,3,0,7,19
LOC103021295,0,0,0,0,0,0
RAB7B,9,19,1,0,7,9
CTSE,1,0,0,1,0,0
RHEX,0,1,0,0,0,0
LOC105372857,0,0,0,0,0,0
AVPR1B,0,0,0,0,0,0
LOC105372869,0,1,0,0,0,0
LOC105372873,0,0,0,0,0,0
FAM72A,218,230,222,175,196,229
SRGAP2,5174,4406,5253,4001,5242,5707
IKBKE,693,859,787,1155,1306,1105
MIR6769B,0,0,0,0,0,0
C1orf147,65,69,55,69,84,68
RASSF5,60,40,50,71,15,16
EIF2D,2721,3230,3120,2976,2713,2811
DYRK3-AS1,130,96,135,109,144,214
DYRK3,1467,1332,1565,1451,2321,2421
MAPKAPK2,6508,6423,6380,6335,6617,7250
LOC105372877,3,4,4,3,0,4
IL10,0,0,0,0,0,0
IL19,0,0,0,0,0,0
LOC105372878,0,0,0,0,0,0
IL20,0,0,0,0,0,0
LOC105372879,0,0,0,0,0,0
IL24,0,0,0,2,1,4
FCMR,2,1,2,8,15,38
PIGR,0,0,0,0,0,1
FCAMR,0,0,0,0,0,0
C1orf116,1,2,0,1,0,1
LOC107984109,1,0,0,0,0,0
YOD1,886,884,962,733,701,741
PFKFB2,160,192,278,130,217,176
C4BPB,0,0,0,1,1,8
C4BPA,1,0,2,0,0,0
LOC107985251,20,20,18,16,18,20
CD55,5650,7939,7717,6287,8706,6547
LOC105372880,0,0,0,0,0,0
CR2,0,0,0,0,0,0
CR1,0,0,0,0,1,0
CR1L,2,0,1,0,1,2
CD46,9354,9387,11479,9079,9070,7082
MIR29B2CHG,44,27,23,34,16,29
MIR29C,0,0,0,0,0,0
MIR29B2,0,0,0,0,0,0
LOC148696,36,14,8,19,9,16
CD34,11863,7421,24846,24662,7644,2719
LOC107985253,22,4,17,17,0,1
LINC02767,62,32,51,80,11,13
PLXNA2,26736,18204,25070,35423,32953,19489
LOC105372887,77,18,26,28,24,14
LOC105372884,204,92,91,130,76,64
LOC105372888,7,9,9,8,6,6
LOC105372889,0,0,0,0,0,0
LOC107985460,0,0,0,0,0,0
LINC01735,0,2,0,0,0,0
LINC02769,0,0,0,0,0,0
LOC105372892,0,0,0,0,0,0
LINC01717,0,0,0,0,0,0
LOC107985255,0,0,0,0,0,0
LINC01774,0,0,0,0,0,0
LOC105372895,0,0,0,0,0,0
LOC105372896,0,0,0,0,0,0
LINC01696,0,0,0,0,0,0
LINC01698,0,0,0,0,0,0
MIR205HG,0,0,0,0,0,0
MIR205,0,0,0,0,0,0
LOC105372898,0,0,0,0,0,0
LOC105372899,0,0,0,0,0,0
LOC107985256,0,0,0,1,0,0
CAMK1G,0,2,6,15,2,0
LAMB3,779,666,611,1992,189,193
MIR4260,0,0,0,0,0,0
HSD11B1-AS1,0,0,0,0,0,0
G0S2,105,51,135,1137,72,70
HSD11B1,2,1,2,12,2,1
TRAF3IP3,46,49,51,34,29,37
C1orf74,228,249,270,221,192,178
IRF6,1125,1324,1601,37,49,34
UTP25,1881,1952,2033,1835,1603,1659
SYT14,75,22,91,39,1,2
SERTAD4-AS1,0,0,0,0,0,0
SERTAD4,0,0,0,0,0,0
LINC02602,0,0,0,0,0,0
HHAT,3,9,7,0,1,2
KCNH1,4,6,2,1,0,2
LOC105372901,0,0,0,0,0,0
KCNH1-IT1,0,0,0,0,0,0
LOC105372902,13,10,2,3,5,8
RCOR3,1644,1711,1888,1484,1513,1591
TRAF5,1048,901,931,880,957,1315
LOC107985258,8,3,5,2,3,2
LINC00467,42,65,61,80,62,65
LOC107985259,21,35,27,35,28,29
RD3,0,0,0,0,0,0
LOC107985261,0,0,0,0,0,0
LOC107985260,0,0,0,0,0,0
SLC30A1,4593,3924,5022,6436,6679,6166
LOC105372903,0,0,0,0,0,0
LINC01693,21,19,10,63,99,189
NEK2,604,642,380,580,289,145
NEK2-DT,1,0,0,0,0,0
LOC105372904,0,0,0,0,0,0
LPGAT1,5819,5450,5977,6528,5776,6705
LPGAT1-AS1,2,6,2,1,5,2
INTS7,1321,1446,1368,1593,1511,1660
DTL,1683,1644,1331,1034,956,882
RPL21P28,231,263,301,244,220,166
MIR3122,0,0,0,0,0,0
LINC02608,1,2,0,1,2,4
PPP2R5A,5682,5507,5646,2786,3086,3994
LOC107985262,8,0,1,1,0,0
SNORA16B,1,1,0,0,0,4
PACC1,752,858,783,585,272,270
LOC105372906,3,5,1,3,0,0
NENF,251,214,236,341,104,145
LINC02771,0,0,0,0,0,0
LOC105372908,0,0,0,0,0,0
LINC01740,0,0,0,0,0,0
ATF3,96,85,104,123,60,57
FAM71A,0,0,0,0,0,0
LINC02773,11,9,4,6,14,22
BATF3,35,31,17,14,35,30
NSL1,1680,1812,1770,1700,1394,1311
TATDN3,418,540,414,595,491,514
SPATA45,0,2,4,0,2,1
FLVCR1-DT,36,40,34,44,102,10
FLVCR1,373,548,454,540,375,660
VASH2,38,50,53,10,11,38
ANGEL2,2004,1904,2134,1849,1565,1649
RPS6KC1,1965,2089,2073,2225,2208,2184
LOC105372912,0,0,0,2,3,2
PROX1-AS1,11,27,14,205,274,392
LINC00538,0,0,0,6,4,10
PROX1,1000,1233,1102,31638,54152,64129
LINC02775,0,0,0,2,0,0
SMYD2,836,919,734,4975,5524,7600
LOC107985263,203,164,130,949,1066,1442
PTPN14,18454,14421,18197,27337,35162,26294
CENPF,3443,3478,2250,3165,2196,1226
LOC105372916,0,0,0,0,0,0
LOC105372915,0,0,0,0,0,0
KCNK2,17,32,19,8,3,8
LOC105372919,8,8,8,12,8,12
KCTD3,2546,2740,2544,2925,2726,3081
USH2A,9,4,2,3,5,6
USH2A-AS2,0,0,0,0,0,0
USH2A-AS1,0,0,0,0,0,0
LOC107985596,0,0,0,0,0,0
ESRRG,0,0,0,0,0,0
LOC107985461,0,0,0,0,0,0
LOC105372920,0,0,0,0,0,0
GPATCH2,1076,1003,1195,1094,1037,1311
SPATA17,7,4,8,9,2,3
SPATA17-AS1,0,0,1,1,0,1
LINC00210,0,0,0,0,0,0
LOC105372922,0,0,0,0,0,0
LINC01653,0,0,0,0,0,0
LOC105372923,0,0,0,0,0,0
RRP15,1073,1106,1224,1312,927,778
TGFB2-AS1,10,4,12,92,147,118
TGFB2,190,50,178,2103,3071,2431
TGFB2-OT1,0,0,0,0,0,0
LINC02869,0,0,0,8,3,5
LOC105372924,0,0,0,0,1,0
LINC01710,0,0,0,0,0,0
LYPLAL1-DT,2,4,1,1,2,0
LYPLAL1,648,708,763,750,682,569
LOC107984018,21,7,3,0,3,0
LYPLAL1-AS1,5,2,3,7,2,1
LOC107985272,0,0,0,0,0,0
ZC3H11B,2,6,3,2,6,3
LOC105372926,0,0,0,0,0,0
SLC30A10,0,0,0,0,0,0
LOC107985281,0,0,0,0,0,0
EPRS1,10706,11500,12341,9544,8678,7118
BPNT1,1067,1176,1166,1308,1130,1088
IARS2,5533,6119,5639,7110,6542,6502
LOC105373475,3,6,2,5,0,1
MIR215,2,3,2,1,0,0
MIR194-1,0,1,0,0,1,0
RAB3GAP2,3346,3441,3919,3864,3832,3851
MIR664A,0,0,0,0,0,0
SNORA36B,0,0,0,0,0,0
AURKAP1,23,25,18,16,13,11
LINC02779,0,0,0,0,0,0
LOC105372928,0,0,0,0,0,0
MARK1,474,470,573,186,163,240
C1orf115,3238,3522,3407,5929,9946,7691
MTARC2,550,683,588,723,883,971
MTARC1,112,92,91,221,105,91
RNU6ATAC35P,0,0,0,4,0,0
LINC01352,10,18,19,15,12,7
HLX-AS1,287,218,152,90,62,47
HLX,1366,942,760,419,289,185
LOC105372930,0,0,0,0,0,0
LOC101929750,0,0,0,0,0,0
LOC107985296,0,0,0,0,0,0
LOC105372932,0,0,0,0,0,0
LINC02817,0,0,0,4,0,3
LOC105372934,0,0,0,0,0,0
LOC107985462,0,0,0,0,0,0
LOC105372937,0,0,0,0,0,0
DUSP10,169,117,148,427,390,444
LOC105372945,0,1,0,3,3,1
LOC107985300,0,0,0,0,0,0
LINC01655,0,0,0,0,0,0
LINC02257,0,0,0,0,0,0
LINC02474,0,0,0,0,0,0
LINC01705,0,0,0,0,0,0
TRT-TGT2-1,0,0,0,0,0,0
LOC105372956,0,0,0,0,0,0
HHIPL2,6,0,4,2,4,0
TAF1A,146,130,125,183,82,112
TAF1A-AS1,6,3,10,10,6,10
LOC107985318,0,2,1,0,1,0
MIA3,4159,3805,4407,4068,4624,4428
AIDA,3277,3506,3575,3970,3500,3373
BROX,3693,3529,4223,4928,4832,4731
FAM177B,3,1,0,2,2,2
LOC105372984,0,0,0,0,0,0
DISP1,423,367,451,346,339,314
LOC102724046,0,0,0,0,0,0
LOC107985323,1,0,2,0,0,0
TLR5,20,16,16,28,21,108
SUSD4,5,1,2,0,1,2
LOC105373025,0,0,0,0,0,0
CCDC185,0,0,0,0,0,0
LOC105373034,0,0,0,0,0,0
CAPN8,0,0,2,1,0,0
LOC105373281,10,11,3,4,7,2
CAPN2,35864,40641,33358,38852,22939,20372
LOC105373046,25,20,12,10,3,5
LOC105373041,28,13,16,21,10,13
TP53BP2,2169,2225,3015,2355,2026,2187
GTF2IP20,118,123,138,75,86,102
SEPTIN7P13,44,31,39,41,48,65
LOC105373061,0,0,0,1,0,0
LOC105373056,0,1,0,7,11,9
FBXO28,4411,4735,5398,9879,11827,12865
DEGS1,5907,5807,6364,9348,9725,10271
LOC101927143,0,1,0,0,0,0
LOC101927164,163,174,106,197,157,159
NVL,1170,1360,1130,1415,1369,1205
MIR320B2,3,1,0,2,0,0
CNIH4,3169,3142,3130,2599,2185,2094
WDR26,13441,12374,14245,14120,18063,15919
MIR4742,2,1,0,0,0,0
CNIH3,78,54,71,59,48,68
CNIH3-AS2,5,8,8,0,1,1
CNIH3-AS1,9,2,5,3,3,4
LINC02813,0,1,2,0,1,0
LOC105373108,0,1,0,0,0,0
LOC105373109,0,0,0,0,0,0
DNAH14,217,269,316,183,158,118
LBR,6994,7697,6971,7911,10297,9766
LINC02765,2,2,2,2,2,3
ENAH,6773,5990,5730,3925,4069,3532
LOC102723834,1,1,0,3,11,2
LOC107985352,3,0,0,2,0,1
SRP9,7263,7524,8240,8201,6567,6538
EPHX1,2028,2328,1598,5690,14016,13913
TMEM63A,1540,1378,1324,854,923,971
LEFTY1,1,0,2,1,0,1
PYCR2,2214,2205,2281,1505,1397,1388
MIR6741,0,0,0,0,0,0
LEFTY2,3,4,4,0,0,0
SDE2,1688,1472,1632,1616,1573,1696
H3-3A,953,1055,1273,1132,1866,1291
LINC01703,9,7,6,14,11,3
ACBD3,3463,2985,3541,3844,3748,3308
ACBD3-AS1,549,499,504,563,525,489
LOC101927247,0,0,0,0,0,0
MIXL1,29,22,33,37,21,50
LIN9,453,615,444,485,338,322
PARP1,8808,8964,7951,6395,7220,7308
LOC105373115,0,0,0,0,0,0
LOC105373116,0,0,0,15,75,148
STUM,2,0,0,17,124,151
ITPKB,10100,8271,7856,11120,13306,16151
ITPKB-IT1,6,0,0,1,1,0
LOC105373117,24,8,9,15,8,20
LOC105373119,0,0,0,0,1,0
PSEN2,757,698,681,1223,2015,1932
LOC107985354,5,4,2,3,1,2
COQ8A,811,907,889,1136,2057,2004
CDC42BPA,18812,15877,22138,17742,21094,17605
LINC01641,0,0,0,0,0,0
LOC105373122,0,1,0,0,0,2
ZNF678,834,876,1076,789,676,734
ZNF847P,0,0,0,1,0,0
SNAP47,2152,2481,2118,1939,1665,1723
JMJD4,1112,1364,1069,962,942,956
LOC105373289,4,4,5,1,3,1
PRSS38,0,0,0,0,0,0
WNT9A,798,678,1101,154,64,138
MIR5008,0,0,0,0,0,0
LOC107985355,1,0,1,0,0,0
WNT3A,3,0,0,5,6,0
LINC02809,7,25,3,7,10,12
ARF1,24799,25728,25388,27256,23421,23445
MIR3620,0,0,0,0,0,0
C1orf35,562,643,575,470,406,375
MRPL55,843,984,833,813,612,555
GUK1,4847,6308,5606,8601,8343,10157
GJC2,29,27,29,186,340,781
IBA57-DT,8,6,0,22,10,32
IBA57,860,785,770,711,981,1101
OBSCN-AS1,2,7,1,8,31,39
OBSCN,349,356,301,331,743,884
LOC101927401,1,1,0,5,13,19
TRIM11,937,1016,911,903,920,1023
MIR6742,0,0,0,0,0,0
TRIM17,20,14,9,8,9,3
H3-4,0,0,0,0,0,0
H2AW,0,0,0,0,0,0
H2BU1,0,0,0,0,0,0
MIR4666A,0,0,0,0,0,0
RNF187,0,0,0,0,0,0
BTNL10,0,0,0,0,0,0
LOC105373124,0,0,0,0,0,0
RNA5S1,0,0,0,0,0,0
RNA5S2,0,0,0,0,0,0
RNA5S3,0,0,0,0,0,0
RNA5S4,0,0,0,0,0,0
RNA5S5,0,0,0,0,0,0
RNA5S6,0,0,0,0,0,0
RNA5S7,0,0,0,0,0,0
RNA5S8,0,0,0,0,0,0
RNA5S9,0,0,1,0,0,0
RNA5S10,0,0,0,0,0,0
RNA5S11,0,0,0,0,0,0
RNA5S12,0,0,0,0,0,0
RNA5S13,0,0,0,0,0,0
RNA5S14,0,0,0,0,0,0
RNA5S15,0,0,0,0,0,0
RNA5S16,0,0,0,0,0,0
RHOU,0,0,0,0,0,0
DUSP5P1,1,1,0,2,1,1
RNA5S17,0,0,0,0,0,0
LOC105373143,0,0,0,0,0,0
LINC02815,0,0,0,0,0,0
LINC02814,0,0,0,0,0,1
LOC102723935,1,2,0,0,0,0
TMEM78,0,0,1,0,0,0
RAB4A-AS1,109,211,66,77,58,174
RAB4A,2226,2574,2494,2106,2155,2162
CCSAP,680,669,654,803,524,468
ACTA1,3,0,2,2,1,0
NUP133,3748,3869,4125,3806,3937,3644
NUP133-DT,0,2,0,2,3,3
ABCB10,1663,1734,1353,2427,2234,2144
TAF5L,1841,1820,1807,2235,1825,2021
URB2,1333,1266,1307,1195,985,1080
LOC105373161,0,0,0,0,0,0
LOC107985464,0,0,0,0,0,0
LOC105373162,0,0,0,0,0,0
LINC01682,0,0,0,0,0,0
LOC105373163,0,0,0,0,0,0
LINC01736,0,0,0,0,0,0
GALNT2,10171,9549,10040,7985,10299,8865
PGBD5,3,2,1,32,26,31
LOC105373164,0,0,0,0,0,0
LOC105373165,0,0,0,0,0,0
LOC107985357,0,0,0,0,0,0
LINC01737,0,0,0,0,0,0
COG2,1092,1278,1286,1185,967,937
LOC107985358,107,128,138,98,75,92
AGT,0,0,0,0,1,0
CAPN9,2,7,4,5,1,0
LOC107985359,0,0,0,2,0,0
C1orf198,2497,2708,2565,4687,5426,6087
LOC101927604,2,7,1,2,1,9
LOC105373167,2,2,2,0,0,0
TTC13,1514,1278,1615,749,681,435
ARV1,544,639,748,742,647,709
FAM89A,558,387,569,1007,1325,1714
MIR1182,0,0,0,0,0,0
TRIM67,4,1,2,2,1,2
TRIM67-AS1,0,0,0,0,0,0
C1orf131,309,354,382,301,212,258
GNPAT,3159,3529,3439,3560,3093,3061
LOC112268256,24,21,21,31,17,15
EXOC8,1723,1600,1951,2172,2489,2615
SPRTN,1214,1240,1352,1235,1130,1038
LOC107985360,59,52,28,39,32,44
EGLN1,5242,4697,5890,5466,5903,6613
SNRPD2P2,0,0,0,0,0,0
LOC122526782,95,124,129,173,150,133
TSNAX-DISC1,1,2,0,2,0,1
TSNAX,1339,1316,1751,1618,1470,1536
LINC00582,2,0,0,0,0,0
DISC1,33,18,12,9,8,16
LOC105373170,20,4,5,1,2,4
DISC2,114,122,103,48,32,63
DISC1-IT1,7,1,1,1,0,4
LOC105373172,20,5,12,5,0,8
LOC105373171,7,0,3,1,1,0
LOC101929902,0,0,0,0,0,2
LOC105373196,0,0,0,0,0,0
LOC105373198,0,0,1,0,0,1
SIPA1L2,2883,2104,2603,987,1403,1972
LINC01745,0,0,0,0,0,0
LINC01744,0,0,0,0,0,0
LOC107983960,0,0,0,0,0,0
MAP10,360,376,386,176,146,117
LOC101927711,0,0,0,0,0,0
LOC105373201,0,1,0,0,0,0
LOC107985361,185,236,210,223,196,143
NTPCR,1359,1460,1521,1244,1178,973
PCNX2,538,457,428,233,70,50
MAP3K21,59,25,41,174,108,101
KCNK1,31,33,28,1,0,0
MIR4427,2,0,0,0,0,0
LOC107985362,0,0,0,0,0,0
SLC35F3,0,0,0,1,0,1
LOC107985363,0,0,0,0,0,0
SLC35F3-AS1,0,0,0,0,0,0
LOC105373206,0,0,0,0,0,0
MIR4671,0,0,0,0,0,0
COA6-AS1,71,88,67,78,65,64
COA6,534,618,579,594,534,481
TARBP1,1644,1448,1395,930,869,1095
LINC01354,15,24,15,0,0,0
LOC107985465,1,0,0,0,0,1
IRF2BP2,12052,12203,13049,11419,14965,17152
LINC00184,1,1,3,2,0,1
LOC101927787,2,0,0,0,0,0
LOC105373207,0,0,0,0,0,0
LOC105373209,0,0,3,0,0,0
LOC105373208,0,0,0,0,0,0
LINC01132,25,40,25,27,31,26
LOC105373210,0,1,1,0,0,2
LOC107985364,0,0,0,0,0,0
LINC02961,0,0,0,0,0,0
LOC107985365,0,0,0,1,0,0
LOC105373211,6,2,3,2,4,2
LOC101927851,5,3,9,6,5,2
LOC107985366,2,1,3,3,5,0
LINC01348,0,0,0,3,2,2
LOC107985746,4,4,5,9,5,7
TOMM20,11586,12751,12617,11932,10555,9392
LOC105379283,26,18,18,20,12,15
SNORA14B,0,0,0,0,0,0
RBM34,1156,1414,1286,1363,1077,1010
ARID4B,2872,2651,3191,2915,3266,3618
MIR4753,1,0,0,1,0,0
GGPS1,1610,1740,1803,2103,1617,1776
TBCE,0,4,2,2,1,0
B3GALNT2,6,5,12,6,2,3
GNG4,0,0,0,12,16,7
LYST,1437,1426,1737,1874,1874,1782
MIR1537,1,0,1,0,1,0
LOC105373215,3,2,1,2,0,0
LINC02768,13,6,7,8,3,5
NID1,27764,23881,33513,44705,67297,91262
GPR137B,906,789,1082,1070,1385,1165
ERO1B,572,348,615,798,1058,900
EDARADD,0,2,0,0,0,0
LGALS8,5953,7046,6779,10111,14652,15883
LGALS8-AS1,249,344,294,575,763,845
LOC107985367,311,383,371,587,884,856
HEATR1,8492,8891,8371,8659,9254,9323
ACTN2,19,27,11,0,2,0
MTR,6366,6433,7246,5719,6674,7130
LOC105373218,16,11,18,2,6,5
LOC107985368,0,0,0,0,0,0
MT1HL1,0,0,0,0,0,0
RYR2,1,3,1,1,9,47
MIR4428,0,0,0,0,0,0
LOC100130331,1,0,0,0,0,0
ZP4,0,0,0,0,0,0
LOC105373220,0,0,0,0,0,0
LINC01139,0,0,0,6,18,0
LOC105373222,0,0,0,0,0,0
LOC105373223,0,0,0,0,0,0
CHRM3,0,0,0,31,88,4
LOC105373225,0,0,0,0,0,0
CHRM3-AS2,0,0,0,3,0,0
CHRM3-AS1,0,0,0,0,0,0
LOC105373224,0,0,0,0,0,0
RPS7P5,0,0,0,0,0,0
FMN2,7,9,8,1,2,0
GREM2,0,0,0,0,0,0
LOC107985369,0,0,0,0,0,0
LOC105373228,0,0,0,0,0,0
LOC100506929,0,0,0,1,0,2
